time,latitude,longitude,depth,mag
2024-05-13T12:32:35.961Z,-5.7461,148.6439,173.22,5.2
2024-05-13T00:28:13.427Z,0.9271,123.8264,274.091,5.3
2024-05-13T00:24:49.483Z,-11.6074,165.2327,10.0,5.1
2024-05-11T00:47:16.033Z,41.6969,144.3234,11.196,5.0
2024-05-10T11:48:41.811Z,-5.1446,151.8374,42.0,5.6
2024-05-10T07:45:18.196Z,24.1885,121.9049,11.296,5.8
2024-05-07T13:12:56.228Z,5.729,124.6392,50.41,5.0
2024-05-07T08:03:03.382Z,11.3088,125.7334,68.686,5.0
2024-05-06T09:52:45.587Z,23.7307,121.5574,28.949,5.2
2024-05-06T09:45:30.649Z,23.7213,121.5958,23.605,5.6
2024-05-05T20:37:11.921Z,-3.3053,130.9364,10.0,5.5
2024-05-05T18:33:11.021Z,-3.3167,130.9618,16.0,6.1
2024-05-05T15:40:24.294Z,-5.8783,146.7752,123.323,5.1
2024-05-05T08:58:10.081Z,-5.7715,147.4516,130.507,5.3
2024-05-05T05:44:24.286Z,10.9361,141.3275,45.449,5.5
2024-05-03T22:47:38.829Z,-5.6237,154.2572,150.623,5.1
2024-05-03T10:16:23.573Z,10.8644,125.3349,10.208,5.7
2024-05-01T23:45:25.544Z,-5.8025,151.0714,29.0,5.8
2024-04-30T13:52:40.877Z,2.2997,126.767,20.048,5.3
2024-04-27T16:29:50.643Z,-8.005,107.2798,59.701,6.1
2024-04-27T08:35:34.207Z,27.8209,139.6186,496.0,6.5
2024-04-26T18:49:29.534Z,24.2394,121.6724,40.475,5.2
2024-04-26T18:21:23.639Z,24.1531,121.6724,37.767,5.7
2024-04-26T16:25:41.085Z,-10.0577,160.4903,35.0,5.1
2024-04-26T13:43:16.503Z,-10.4664,115.0966,10.0,5.0
2024-04-25T09:09:03.076Z,14.5517,146.8815,10.0,5.1
2024-04-25T04:20:15.583Z,7.7252,127.1182,10.0,5.0
2024-04-24T18:12:16.908Z,24.0007,122.2704,27.095,5.3
2024-04-24T18:11:56.126Z,23.9696,122.2944,35.376,5.1
2024-04-24T11:40:07.440Z,36.4232,140.5874,54.976,5.1
2024-04-24T07:22:10.132Z,28.7426,142.5733,10.0,5.3
2024-04-23T12:55:11.681Z,20.1109,121.3468,22.369,5.3
2024-04-23T07:59:13.265Z,-6.0821,147.2213,89.417,5.0
2024-04-23T02:20:59.665Z,23.8243,121.6339,10.0,5.1
2024-04-23T00:11:02.519Z,23.8813,121.6078,16.257,5.0
2024-04-23T00:04:05.246Z,23.7794,121.6664,12.0,5.8
2024-04-22T21:31:38.398Z,23.777,121.6532,8.991,5.4
2024-04-22T21:24:31.124Z,23.6968,121.6096,8.497,5.1
2024-04-22T21:19:35.721Z,23.7371,121.6109,9.426,5.3
2024-04-22T21:04:21.907Z,23.6611,121.592,5.83,5.4
2024-04-22T20:49:57.856Z,23.6539,121.6164,17.0,5.5
2024-04-22T20:03:06.819Z,23.7626,121.6869,8.839,5.2
2024-04-22T19:19:53.318Z,23.7865,121.6574,8.683,5.0
2024-04-22T18:32:48.439Z,23.8586,121.5662,10.0,6.1
2024-04-22T18:26:52.852Z,23.7141,121.6599,9.0,6.1
2024-04-22T14:20:09.372Z,23.716,121.618,8.222,5.0
2024-04-22T14:11:22.980Z,23.7259,121.5781,8.0,5.8
2024-04-22T13:13:40.535Z,23.6479,121.554,10.0,5.1
2024-04-22T12:22:49.933Z,11.0226,138.6943,10.0,5.4
2024-04-22T11:45:35.666Z,23.6672,121.573,10.0,5.1
2024-04-22T11:44:00.447Z,23.7275,121.5713,21.887,5.0
2024-04-22T11:40:13.386Z,10.9533,138.7035,10.0,5.2
2024-04-22T11:34:37.074Z,23.6047,121.6214,10.0,5.2
2024-04-22T11:25:56.268Z,23.6617,121.5571,10.0,5.0
2024-04-22T11:13:11.313Z,23.7355,121.6162,10.0,5.1
2024-04-22T11:11:33.022Z,-8.8902,111.2844,35.0,5.3
